"X","slug","num","lat","id","name","latest","num_maintainers","modified","created","license","readme","revisions","downloads","num_badges","stars","active_age","age","dependents","pr_makers","size","forks","contributors","num_prs","num_issues","commits","all_downloads","yearly_downloads","num_tools","dependencies","ght_age","hasBadge","hasQABadge","hasCovBadge","hasCIBadge","hasDepMgrBadge","hasInfoBadge","hasPopularityBadge","hasSupportBadge","hasOther"
45,"6to5/6to5",95,14,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
46,"6to5/6to5",95,1001,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
47,"6to5/6to5",95,553,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
48,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
49,"6to5/6to5",95,5,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
50,"6to5/6to5",95,44,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
51,"6to5/6to5",95,30,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
52,"6to5/6to5",95,946,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
53,"6to5/6to5",95,967,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
54,"6to5/6to5",95,970,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
55,"6to5/6to5",95,3,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
56,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
57,"6to5/6to5",95,18,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
58,"6to5/6to5",95,20,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
59,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
60,"6to5/6to5",95,6,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
61,"6to5/6to5",95,6,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
62,"6to5/6to5",95,94,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
63,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
64,"6to5/6to5",95,1017,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
65,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
66,"6to5/6to5",95,486,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
67,"6to5/6to5",95,793,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
